cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Xeon E5-2403 @ 1.80GHz,351.0,2363,6.73,829,2.36,80.0,29.53,4,2012,LGA 1356,Server
Intel Xeon E5-2603 @ 1.80GHz,71.96,2362,32.83,868,12.06,80.0,29.53,4,2012,LGA 2011,Server
AMD Phenom II X4 840,24.28,2355,96.99,1309,53.9,95.0,24.79,4,2011,AM2+/AM3,Desktop
Intel Core i5-660 @ 3.33GHz,69.0,2352,34.08,1435,20.79,73.0,32.21,2,2009,LGA1156,Desktop
Intel Core i3-6102E @ 1.90GHz,225.0,2349,10.44,1068,4.75,25.0,93.96,2,2019,FCBGA1440,Laptop
AMD Opteron 4130,229.95,2347,10.21,1149,5.0,95.0,24.7,4,2016,F (1207),Server
Intel Xeon E5440 @ 2.83GHz,37.99,2340,61.61,1240,32.65,80.0,29.26,4,2009,LGA771,Server
AMD Athlon II X4 651 Quad-Core,149.95,2338,15.59,1296,8.64,100.0,23.38,4,2012,FM1,Unknown
AMD A8-3870K APU,68.04,2336,34.34,1236,18.17,100.0,23.36,4,2011,FM1,Desktop
Intel Xeon X5365 @ 3.00GHz,62.99,2331,37.01,1223,19.41,150.0,15.54,4,2009,LGA771,Server
AMD Phenom II X4 B95,62.02,2329,37.56,1238,19.96,95.0,24.52,4,2010,AM3,Desktop
Intel Xeon E5606 @ 2.13GHz,217.0,2326,10.72,941,4.34,80.0,29.07,4,2011,LGA1366,Server
Intel Xeon X3360 @ 2.83GHz,39.99,2325,58.14,1241,31.04,95.0,24.47,4,2009,LGA775,Server
AMD A10-6700T APU,147.61,2311,15.66,1310,8.87,45.0,51.36,2,2014,FM2,Desktop
Intel Celeron G3920 @ 2.90GHz,1018.0,2310,2.27,1740,1.71,51.0,45.3,2,2016,FCLGA1151,Desktop
Intel Celeron G5905T @ 3.30GHz,42.0,2310,55.01,1996,47.52,35.0,66.01,2,2021,FCLGA1200,Desktop
Intel Xeon X3380 @ 3.16GHz,509.95,2308,4.53,1335,2.62,95.0,24.3,4,2009,LGA775,Server
